exercise,angle,quality,reps,duration,current_pain,last_exercise_hours_ago,predicted_pain_rule,pain_after,risk_level
ROM_LAT,1.0317054952837221,1.0,10,0.9,3,48.0,2.5,,Düşük
ROM_FLEKS,3.6516320056187226,1.0,10,0.91,4,48.0,4.5,,Orta
